"problem_id","problem_summary","target_user","problem_strength_0_10","current_workflow_summary","BEST_NON_AI_SYSTEM","non_ai_strength_0_10","what_non_ai_handles_well","what_non_ai_cannot_reasonably_handle","BEST_MODEL_ENABLED_SYSTEM","model_type_needed","model_indispensable_capability","model_necessity_0_10","AI_classification","product_core_loop","product_loop_strength_0_10","30_second_demo","demo_strength_0_10","practical_value_0_10","evaluation_possible","implementation_risk","high_stakes_dependency","source_strength","reviewer_confidence","decision","decision_reason","algorithm_trap"
"P050","Inspect product stages","quality inspectors","7","inspect materials WIP finished goods","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","quality inspectors -> product images -> CV/audio/speech/HTR interpretation or deterministic decision -> inspection result -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P051","Apply consistent defect judgment","quality inspectors","7","visually assess defects","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","9","AI-NATIVE","quality inspectors -> visual samples -> CV/audio/speech/HTR interpretation or deterministic decision -> consistent assessment -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P052","Avoid fatigue-based misses","quality teams","7","inspect repetitive products","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","quality teams -> images video -> CV/audio/speech/HTR interpretation or deterministic decision -> review priority -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P053","Compile inspection evidence","quality teams","6","collect photos actions reports","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","4","AI-HELPFUL-BUT-NOT-NECESSARY","quality teams -> photos tasks -> CV/audio/speech/HTR interpretation or deterministic decision -> complete report -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","6","YES","MEDIUM","NONE","M","MEDIUM","KILL","The core action depends on interpreting variable unstructured input that fixed rules cannot cover reliably.","False"
"P054","Coordinate small trucking contracts","ocean carriers","6","arrange many hauliers","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","ocean carriers -> contracts schedules -> none interpretation or deterministic decision -> transport plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P055","Monitor external transport","operators","6","arrange partner moves","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","operators -> partner status -> none interpretation or deterministic decision -> monitored shipment -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P056","Complete customs procedures","freight firms","6","prepare submit documents","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","7","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","LLM/VLM/document model","WITHOUT THE MODEL, semantic triage or extraction would be slower and less flexible, but structured forms, retrieval, templates, and human review still solve the core need.","6","AI-HELPFUL-BUT-NOT-NECESSARY","freight firms -> documents regulations -> LLM/VLM/document model interpretation or deterministic decision -> correct submission -> human feedback/record","6","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P057","Coordinate curbside delivery","couriers receivers","6","find load unload space","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","couriers receivers -> location timing -> none interpretation or deterministic decision -> delivery handoff -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P058","Plan restricted truck trip","urban operators","6","navigate congestion time rules","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","urban operators -> maps times rules -> none interpretation or deterministic decision -> feasible trip plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P059","Pass paper clearance documents","port staff","6","queue stamps checks","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","7","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","LLM/VLM/document model","WITHOUT THE MODEL, semantic triage or extraction would be slower and less flexible, but structured forms, retrieval, templates, and human review still solve the core need.","6","AI-HELPFUL-BUT-NOT-NECESSARY","port staff -> documents bookings -> LLM/VLM/document model interpretation or deterministic decision -> completed clearance -> human feedback/record","6","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","5","6","YES","LOW","NONE","H","HIGH","KILL","Models may compress unstructured interpretation but a strong source-bound non-AI workflow remains plausible.","False"
"P060","Recover from disruption","small trucking firms","6","reroute support shipments","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","small trucking firms -> status capacity -> none interpretation or deterministic decision -> contingency action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P061","Deliver fragmented drops","couriers retailers","6","repeated last-mile dispatch","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","couriers retailers -> orders routes -> none interpretation or deterministic decision -> delivered order -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P062","Exchange cross-agency data","stakeholders","6","reenter information across parties","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","stakeholders -> customs port shipment data -> none interpretation or deterministic decision -> shared record -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P063","Make efficiency case","firms","6","interpret consumption data","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","firms -> meter data costs -> none interpretation or deterministic decision -> actionable business case -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P064","Manage energy use","small firms","6","review consumption choose measures","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","small firms -> bills meters -> none interpretation or deterministic decision -> management action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P065","Continuously manage energy","factories","6","monitor operational use","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","5","AI-HELPFUL-BUT-NOT-NECESSARY","factories -> energy streams -> none interpretation or deterministic decision -> ongoing decision -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","True"
"P066","Stop unoccupied consumption","building managers","6","operate HVAC servers","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","building managers -> occupancy equipment use -> none interpretation or deterministic decision -> reduce unnecessary load -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P067","Interpret performance data","building managers","6","inspect operational streams","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","5","AI-HELPFUL-BUT-NOT-NECESSARY","building managers -> performance data -> none interpretation or deterministic decision -> maintenance savings signal -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","True"
"P068","Sort transport recyclables","waste pickers","7","collect separate sell material","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","8","AI-STRONGLY-JUSTIFIED","waste pickers -> material observations -> none interpretation or deterministic decision -> sorted handoff -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","NONE","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P069","Gain recognition and protection","informal workers","6","participate in planning","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","informal workers -> work reports -> none interpretation or deterministic decision -> recognized support -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P070","Recover materials safely","informal recyclers","6","dismantle devices","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","5","AI-HELPFUL-BUT-NOT-NECESSARY","informal recyclers -> device waste stream -> none interpretation or deterministic decision -> safe escalation -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","False"
"P071","Measure food waste","retailers municipalities","6","combine purchasing inventory sales receipts","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","retailers municipalities -> records receipts -> none interpretation or deterministic decision -> waste measure -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P072","Manage collection sorting workforce","cities","6","coordinate service activities","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","cities -> collection sorting data -> none interpretation or deterministic decision -> operational view -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P073","Coordinate long-term services","families","6","navigate health social housing referrals","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","families -> assessments needs -> none interpretation or deterministic decision -> coordinated next action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P074","Repeat assessments","family carers","6","provide same information across services","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","family carers -> assessments -> none interpretation or deterministic decision -> portable assessment -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P075","Find respite and support","unpaid carers","6","manage intense care","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","unpaid carers -> routine needs -> none interpretation or deterministic decision -> support referral -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P076","Coordinate care practical support","informal carers","6","manage cases training counselling","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","informal carers -> care notes -> none interpretation or deterministic decision -> coordinated support -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P077","Manage medicines across transitions","patients carers","8","track medications in high-risk contexts","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","patients carers -> medication lists -> none interpretation or deterministic decision -> review action -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","8","PARTIAL","HIGH","REGULATED","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model. High-consequence setting requires human accountable review and safety validation.","False"
"P078","Recognize suspicious messages","SMB employees","7","inspect link message and escalate","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","8","AI-STRONGLY-JUSTIFIED","SMB employees -> messages URLs -> none interpretation or deterministic decision -> escalated suspicion -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P079","Respond to incidents","SMBs","6","activate roles contacts actions","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","SMBs -> incident reports -> none interpretation or deterministic decision -> response plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P080","Report strange activity early","SMB staff","6","notice blocked attack behavior","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","SMB staff -> alerts narratives -> none interpretation or deterministic decision -> early report -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P081","Triage evolving threats","SMBs","6","assess suspected phishing ransomware","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","8","AI-STRONGLY-JUSTIFIED","SMBs -> messages system signals -> none interpretation or deterministic decision -> review priority -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P082","Serve visitors with access needs","heritage operators","8","assess site and visitor requirements","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","heritage operators -> site data requests -> none interpretation or deterministic decision -> accessible visit plan -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","8","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P083","Preserve resources while serving visitors","destination managers","6","manage infrastructure skills conflicts","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","8","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","3","NON-AI-BETTER","destination managers -> site reports visitor data -> none interpretation or deterministic decision -> managed intervention -> human feedback/record","5","No convincing model-dependent demo; show the classical workflow instead.","4","6","YES","LOW","NONE","H","HIGH","KILL","A strong classical workflow/optimization/rules system addresses the core need without a learned model.","False"
"P084","Complete planning marking admin","teachers","6","prepare mark report across tools","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","5","AI-HELPFUL-BUT-NOT-NECESSARY","teachers -> student work grades -> none interpretation or deterministic decision -> usable instruction record -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","6","6","YES","LOW","NONE","H","HIGH","BORDERLINE","A model can add meaningful semantic/perceptual interpretation, but non-AI baselines, safety constraints, product scope, or evaluation uncertainty remain material.","True"
"P085","Book interpreters","coordinators","8","request schedule confirm interpreter","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","9","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","WITHOUT THE MODEL, the core need still works through deterministic rules, search, databases, statistics, graph algorithms, or CP-SAT.","2","NON-AI-BETTER","coordinators -> language time calendars -> none interpretation or deterministic decision -> confirmed interaction -> human feedback/record","6","No convincing model-dependent demo; show the classical workflow instead.","5","8","YES","LOW","HUMAN-IN-LOOP","H","HIGH","KILL","ALGORITHM_TRAP: classical systems directly solve the stated decision/workflow.","True"
"P086","Aid AAC users during class","teachers","6","learn troubleshoot personal system","Rules, forms, database/search, checklists, audit logs, and where applicable CP-SAT/graph optimization/statistics/signal processing.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Open-ended semantic/perceptual cases only; these are not central enough here to justify a model.","No learned model in core system; conventional software is recommended.","none","No learned capability is central; deterministic workflow software is sufficient.","8","AI-STRONGLY-JUSTIFIED","teachers -> device state activity attempts -> none interpretation or deterministic decision -> communication support -> human feedback/record","8","No convincing model-dependent demo; show the classical workflow instead.","8","6","YES","LOW","HUMAN-IN-LOOP","M","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
"P087","Use inaccessible course content","students teachers","8","publish adapt PDFs images LMS","Constrained capture guidance, classical CV/signal processing, templates, thresholds, and human review.","5","Known categories, structured records, deterministic constraints, and accountable workflow state.","Generalize robustly across unconstrained, variable, semantic input without extensive hand-coded rules or manual review.","Hybrid: model handles unstructured interpretation; deterministic workflow verifies, routes, and records the action.","CV/audio/speech/HTR","WITHOUT THE MODEL, robust semantic interpretation of variable real-world unstructured input would collapse into brittle templates, thresholds, or manual review.","8","AI-STRONGLY-JUSTIFIED","students teachers -> pdfs slides images -> CV/audio/speech/HTR interpretation or deterministic decision -> accessible material -> human feedback/record","8","Input arrives -> system identifies the relevant condition -> user sees an accountable next action in context.","8","8","YES","MEDIUM","HUMAN-IN-LOOP","H","MEDIUM","SURVIVE","Survives the adversary: a learned model is central to interpreting variable real-world unstructured input, while the product loop ends in a reviewable action.","False"
